‐  hyphen
━  box drawings heavy horizontal
│  box drawings light vertical
┃  box drawings heavy vertical
┄  box drawings light triple dash horizontal
┅  box drawings heavy triple dash horizontal
┆  box drawings light triple dash vertical
┇  box drawings heavy triple dash vertical
┈  box drawings light quadruple dash horizontal
┉  box drawings heavy quadruple dash horizontal
┊  box drawings light quadruple dash vertical
┋  box drawings heavy quadruple dash vertical
┌  box drawings light down and right
┍  box drawings down light and right heavy
┎  box drawings down heavy and right light
┏  box drawings heavy down and right
┐  box drawings light down and left
┑  box drawings down light and left heavy
┒  box drawings down heavy and left light
┓  box drawings heavy down and left
└  box drawings light up and right
┕  box drawings up light and right heavy
┖  box drawings up heavy and right light
┗  box drawings heavy up and right
┘  box drawings light up and left
┙  box drawings up light and left heavy
┚  box drawings up heavy and left light
┛  box drawings heavy up and left
├  box drawings light vertical and right
┝  box drawings vertical light and right heavy
┞  box drawings up heavy and right down light
┟  box drawings down heavy and right up light
┠  box drawings vertical heavy and right light
┡  box drawings down light and right up heavy
┢  box drawings up light and right down heavy
┣  box drawings heavy vertical and right
┤  box drawings light vertical and left
┥  box drawings vertical light and left heavy
┦  box drawings up heavy and left down light
┧  box drawings down heavy and left up light
┨  box drawings vertical heavy and left light
┩  box drawings down light and left up heavy
┪  box drawings up light and left down heavy
┫  box drawings heavy vertical and left
┬  box drawings light down and horizontal
┭  box drawings left heavy and right down light
┮  box drawings right heavy and left down light
┯  box drawings down light and horizontal heavy
┰  box drawings down heavy and horizontal light
┱  box drawings right light and left down heavy
┲  box drawings left light and right down heavy
┳  box drawings heavy down and horizontal
┴  box drawings light up and horizontal
┵  box drawings left heavy and right up light
┶  box drawings right heavy and left up light
┷  box drawings up light and horizontal heavy
┸  box drawings up heavy and horizontal light
┹  box drawings right light and left up heavy
┺  box drawings left light and right up heavy
┻  box drawings heavy up and horizontal
┼  box drawings light vertical and horizontal
┽  box drawings left heavy and right vertical light
┾  box drawings right heavy and left vertical light
┿  box drawings vertical light and horizontal heavy
╀  box drawings up heavy and down horizontal light
╁  box drawings down heavy and up horizontal light
╂  box drawings vertical heavy and horizontal light
╃  box drawings left up heavy and right down light
╄  box drawings right up heavy and left down light
╅  box drawings left down heavy and right up light
╆  box drawings right down heavy and left up light
╇  box drawings down light and up horizontal heavy
╈  box drawings up light and down horizontal heavy
╉  box drawings right light and left vertical heavy
╊  box drawings left light and right vertical heavy
╋  box drawings heavy vertical and horizontal
╌  box drawings light double dash horizontal
╍  box drawings heavy double dash horizontal
╎  box drawings light double dash vertical
╏  box drawings heavy double dash vertical
═  box drawings double horizontal
║  box drawings double vertical
╒  box drawings down single and right double
╓  box drawings down double and right single
╔  box drawings double down and right
